,X,collisions
61,610,"[0.16885245901639345, 0.1623083859332732, 0.14262295081967213, 0.13443724895483236, 0.14591359947536683, 0.15411099270432002, 0.15575047135011066, 0.15575047135011066, 0.15081967213114755, 0.16885245901639345, 0.14591359947536683, 0.1655873432248545, 0.1573899499959013, 0.15247151405852938, 0.14426229508196722, 0.15083203541273874, 0.17050577916222642, 0.1606689072874826, 0.1606689072874826, 0.1573899499959013]"
62,620,"[0.1403225806451613, 0.15969029760464554, 0.14194693120412938, 0.15646423098636986, 0.17903225806451614, 0.15162513105895636, 0.15646423098636986, 0.15646423098636986, 0.18065973062343738, 0.15001209774981852, 0.14517299782240503, 0.15485119767723204, 0.17098153076861036, 0.16614243084119687, 0.16936849745947255, 0.14194693120412938, 0.1483990644406807, 0.16451612903225807, 0.15646423098636986, 0.1403225806451613]"
63,630,"[0.16191761250892928, 0.14445590919914278, 0.14445590919914278, 0.14128105405190888, 0.14128105405190888, 0.19366616398126835, 0.1777918882450988, 0.14286848162552584, 0.15556790221446146, 0.15079365079365079, 0.1619047619047619, 0.15715532978807842, 0.15398047464084452, 0.14128105405190888, 0.1650924676561632, 0.15874275736169538, 0.16033018493531231, 0.1650924676561632, 0.15874275736169538, 0.16667989522978013]"
64,640,"[0.18126416126259864, 0.15469958590514885, 0.171875, 0.1593874521446988, 0.15782483006484882, 0.16720056254394874, 0.15782483006484882, 0.15469958590514885, 0.16251269630439877, 0.15313696382529884, 0.16251269630439877, 0.16407531838424877, 0.19063989374169857, 0.16251269630439877, 0.16563794046409877, 0.1546875, 0.16251269630439877, 0.15001171966559887, 0.15626220798499882, 0.1593874521446988]"
65,650,"[0.15078082929456113, 0.15231940918532194, 0.1707823678744519, 0.16924378798369105, 0.16001230863912608, 0.15384615384615385, 0.19078390645434265, 0.1707823678744519, 0.15385798907608278, 0.1446265097315178, 0.16001230863912608, 0.13385645049619202, 0.16308946842064775, 0.1677052080929302, 0.17692307692307693, 0.15692307692307692, 0.16155088852988692, 0.14616508962227864, 0.16308946842064775, 0.16462804831140856]"
66,660,"[0.20001515266308054, 0.1712121212121212, 0.19243882112281233, 0.15454545454545454, 0.18637775589059777, 0.1681945601939541, 0.16061822865368588, 0.16516402757784682, 0.1575876960375786, 0.14849609818925677, 0.17122509281006137, 0.172740359118115, 0.17577089173422228, 0.1833472232744905, 0.1787878787878788, 0.14849609818925677, 0.1681945601939541, 0.16213349496173954, 0.1454655655731495, 0.16061822865368588]"
67,670,"[0.18812028953063203, 0.1761325472050153, 0.15672811403836107, 0.14626865671641792, 0.15374281662810657, 0.17164179104477612, 0.15074626865671642, 0.18507462686567164, 0.1821031420255243, 0.1671766549742518, 0.16417910447761194, 0.16568400626912455, 0.15971341144861556, 0.19105903425628779, 0.16568400626912455, 0.14926487051272483, 0.15672811403836107, 0.1582207627434883, 0.15672811403836107, 0.1582207627434883]"
68,680,"[0.18089565409221267, 0.15295242297227737, 0.1823663504669461, 0.15295242297227737, 0.19119052871534672, 0.17501286859327891, 0.17060077946907862, 0.17941176470588235, 0.1544231193470108, 0.18824913596587983, 0.16913008309434518, 0.16324729759541143, 0.1544231193470108, 0.1867784395911464, 0.17647058823529413, 0.14559894109861019, 0.16030590484594456, 0.15736451209647767, 0.17794117647058824, 0.17207147584381205]"
69,690,"[0.1579824624972824, 0.20581201536343213, 0.1753623188405797, 0.17247626639611566, 0.16956521739130434, 0.17247626639611566, 0.16666666666666666, 0.17101449275362318, 0.15943184288716575, 0.17392564678599898, 0.15653308210739908, 0.1623306036669324, 0.1637799840568157, 0.1637799840568157, 0.1985651134140155, 0.17682440756576565, 0.1492753623188406, 0.1753750271758823, 0.16667874483658235, 0.21160953692296544]"
70,700,"[0.1785841845846132, 0.17001214372455176, 0.16858347024787484, 0.16572612329452105, 0.17572683763125937, 0.15858275591113652, 0.16858347024787484, 0.17, 0.16286877634116723, 0.16715479677119793, 0.17429816415458246, 0.1785841845846132, 0.18858489892135152, 0.1771555111079363, 0.17572683763125937, 0.17429816415458246, 0.1828702050146439, 0.19142857142857142, 0.19144224587470535, 0.14572469462104437]"
