,index,all_backshifts,number_sensors_shifted
778,778,184.0,115.2
779,779,178.4,112.2
780,780,186.2,115.2
781,781,170.8,108.8
782,782,171.8,110.2
783,783,174.6,112.2
784,784,173.2,111.6
785,785,178.4,109.4
786,786,179.8,116.2
787,787,178.4,113.2
788,788,190.8,113.2
789,789,194.0,118.0
790,790,192.6,117.6
791,791,189.6,113.6
792,792,167.8,109.0
793,793,208.2,125.4
794,794,200.2,120.6
795,795,176.6,112.0
796,796,192.2,119.4
797,797,192.4,120.6
798,798,197.2,120.8
799,799,184.0,118.4
800,800,188.2,120.6
801,801,198.8,120.6
802,802,188.8,116.0
803,803,190.4,122.6
804,804,200.8,119.8
805,805,198.2,123.2
806,806,203.0,123.0
807,807,195.8,118.0
808,808,183.8,117.8
809,809,189.6,121.6
810,810,186.2,122.2
811,811,172.6,108.6
812,812,190.4,114.8
813,813,206.4,128.0
814,814,195.6,120.6
815,815,190.6,123.2
816,816,205.2,122.6
817,817,203.6,128.2
818,818,206.0,125.0
819,819,201.2,129.0
820,820,200.4,119.4
821,821,192.6,121.2
822,822,199.0,124.6
823,823,201.4,126.4
824,824,219.6,135.8
825,825,210.8,129.8
826,826,213.2,125.8
827,827,194.6,123.4
828,828,223.8,132.8
829,829,218.0,133.0
830,830,217.4,132.2
831,831,217.0,130.4
832,832,223.2,134.4
833,833,215.2,135.8
834,834,220.6,132.0
835,835,220.0,136.4
836,836,206.2,125.8
837,837,226.6,136.4
838,838,236.8,141.6
839,839,226.0,137.6
840,840,218.4,128.8
841,841,240.6,144.2
842,842,220.4,134.0
843,843,221.4,134.0
844,844,212.4,130.4
845,845,207.8,129.8
846,846,235.2,139.0
847,847,214.0,130.4
848,848,200.4,126.2
849,849,200.2,125.0
850,850,217.0,135.4
851,851,222.2,136.8
852,852,207.0,128.2
853,853,226.2,134.8
854,854,240.0,134.0
855,855,223.6,129.8
856,856,201.0,125.4
857,857,228.2,139.2
858,858,219.4,136.0
859,859,201.6,129.4
860,860,221.6,137.2
861,861,242.8,143.4
862,862,246.4,144.6
863,863,237.4,140.0
864,864,236.8,142.2
865,865,215.4,135.2
866,866,233.8,140.8
867,867,224.6,137.6
868,868,236.2,139.8
869,869,251.8,142.8
870,870,219.8,136.4
871,871,224.6,140.6
872,872,265.4,154.6
873,873,205.0,133.4
874,874,253.8,155.6
875,875,238.2,148.8
876,876,225.6,141.0
877,877,239.6,145.8
878,878,221.0,144.6
879,879,241.8,146.0
880,880,214.2,131.4
881,881,233.2,142.0
882,882,233.0,142.0
883,883,241.8,140.6
884,884,228.0,141.6
885,885,255.8,148.0
886,886,237.2,142.8
887,887,251.6,151.6
888,888,244.8,148.2
889,889,244.4,150.0
890,890,244.0,147.0
891,891,244.0,149.2
892,892,225.6,143.4
893,893,240.6,142.6
894,894,215.8,133.0
895,895,244.4,147.2
896,896,274.4,163.2
897,897,239.4,150.2
898,898,256.2,153.8
899,899,235.2,144.2
900,900,249.8,149.6
901,901,254.2,146.0
902,902,272.8,156.2
903,903,244.0,152.8
904,904,239.8,146.6
905,905,230.4,144.6
906,906,295.0,164.4
907,907,269.0,158.2
908,908,257.4,157.8
909,909,277.2,158.6
910,910,259.6,153.8
911,911,250.2,153.0
912,912,252.6,145.0
913,913,261.4,156.2
914,914,232.0,143.6
915,915,275.8,163.8
916,916,262.2,161.4
917,917,263.2,155.8
918,918,249.0,153.0
919,919,262.8,158.0
920,920,262.6,159.0
921,921,248.8,157.0
922,922,276.4,163.2
923,923,250.4,149.4
924,924,266.0,157.8
925,925,272.2,159.2
926,926,265.0,163.0
927,927,251.8,155.0
928,928,252.4,153.4
929,929,278.8,163.2
930,930,292.0,168.6
931,931,256.0,155.8
932,932,259.0,156.6
933,933,291.6,168.8
934,934,263.6,158.6
935,935,283.8,169.0
936,936,281.0,163.4
937,937,268.6,162.0
